Sample Number,Sampled Point Number,Latitude + Longitude,Heading,Date,Image Name,Road Types,Web Link
1,1,"13.8239275996,100.6215923",N,2011-12,0000000001_13.8239275996_100.6215923_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSMk42LVpfb2diYnM
2,1,"13.8239275996,100.6215923",E,2011-12,0000000002_13.8239275996_100.6215923_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSdTNtVDBDMnhsb2s
3,1,"13.8239275996,100.6215923",S,2011-12,0000000003_13.8239275996_100.6215923_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSckU5VHhZbFk3NnM
4,1,"13.8239275996,100.6215923",W,2011-12,0000000004_13.8239275996_100.6215923_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSV19zYUVWSFM0ZXc
5,2,"13.7998948999,100.6029538",N,2011-12,0000000005_13.7998948999_100.6029538_N.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSY0FJS05sbUxFVGc
6,2,"13.7998948999,100.6029538",E,2011-12,0000000006_13.7998948999_100.6029538_E.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSdkpuVExRSGpZQ2c
7,2,"13.7998948999,100.6029538",S,2011-12,0000000007_13.7998948999_100.6029538_S.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSSjdZVDJTR0VMR1k
8,2,"13.7998948999,100.6029538",W,2011-12,0000000008_13.7998948999_100.6029538_W.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSWkZCNFI5MDJCVDg
9,3,"13.71497,100.53426",N,2016-10,0000000009_13.71497_100.53426_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSYTR0ckYzckM4V3M
10,3,"13.71497,100.53426",E,2016-10,0000000010_13.71497_100.53426_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSZFEwTU5VcGxWcDg
11,3,"13.71497,100.53426",S,2016-10,0000000011_13.71497_100.53426_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSRFhXLTF5NkZqQjQ
12,3,"13.71497,100.53426",W,2016-10,0000000012_13.71497_100.53426_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSVVlUWkdDcnV1a28
13,4,"13.8746584001,100.3947591",N,2016-09,0000000013_13.8746584001_100.3947591_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSLVlQRk5WeGF5azg
14,4,"13.8746584001,100.3947591",E,2016-09,0000000014_13.8746584001_100.3947591_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSX0U5cHF5LURTR1E
